Linux 6.5.0-45-generic (gauss) 	26. 02. 2025 	_x86_64_	(32 CPU)

11:48:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:48:26        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26      nvme0n1     15,60      0,00    190,40      0,00     12,21      0,01      0,86      1,28
11:48:26          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:26       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:48:26          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:48:31        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:31        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:31        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:31        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
